Class_Averages(LL,LS,SL,SS)(-1.0 -0.7 0.4) 	1.2 	1.9 	-nan 	2.8 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 -0.7 0.5) 	1.2 	1.9 	-nan 	2.8 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 -0.7 0.6) 	1.2 	2.2 	-nan 	2.5 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 -0.7 0.7) 	1.2 	2.2 	-nan 	2.5 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 -0.7 0.8) 	1.2 	2.2 	-nan 	2.5 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 -0.7 0.9) 	1.2 	2.2 	-nan 	2.5 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -1.0) 	 1 	1.7 	-nan 	3.3 	135231 	63.48
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.9) 	 1 	1.7 	-nan 	3.3 	135231 	63.48
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.8) 	 1 	1.6 	-nan 	3.4 	135231 	63.48
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.7) 	 1 	1.6 	-nan 	3.4 	135231 	63.48
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.6) 	 1 	1.6 	-nan 	3.4 	135231 	63.48
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.5) 	 1 	1.6 	-nan 	3.4 	135231 	63.48
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.4) 	1.1 	1.8 	-nan 	3.2 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.3) 	1.1 	1.8 	-nan 	3.2 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.2) 	1.1 	1.8 	-nan 	3.2 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 -0.6 -0.1) 	1.2 	1.8 	-nan 	2.2 	135240 	63.48
